laptop_id,full_name_with_specs,link_profile,full_name,producer,model,cpu,cpu_mark,gpu,disc,ram,ram_tech,display_size,display_resolution,display_hz,display_tech,weight,hdmi_version,wifi_version,bluetooth_version,webcam_resolution,microphone_count,publishing_date,price_in_dollar,review_link,amazon_link,dimensions,ethernet,fingerprint_reader,service_rank,service_level
219,"MSI Raider GE68ProcessorIntel Core i9-13950HXInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 4060 (Laptop, 140W)Display16.0"", WQXGA (2560 x 1600), 240 Hz, IPSSolid-state drive4000GB SSD",https://laptopmedia.com/laptop-specs/msi-raider-ge68-150/,MSI Raider GE68,MSI,RaiderGE68,Intel Core i9-13950HX,44952,"NVIDIA GeForce RTX 4060 (Laptop, 140W)",4000GB SSD,32GB,DDR5,"16.0""", WQXGA (2560 x 1600), 240 Hz,,,2.1,802.11ax,5.3,1080p,,31.10.2023,,,,,"10, 100, 1000, 2500 Mbit/s",Fingerprint reader,10,44/100
220,"Dell Inspiron 7425 2-in-1ProcessorAMD Ryzen 5 5625UInternal memory8GB RAMVideo cardAMD Radeon RX Vega 7 (R4000/5000, 15W)Display14.0"", FHD+ (1920 x 1200), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/dell-inspiron-7425-2-in-1-181/,Dell Inspiron 7425 2-in-1,Dell,Inspiron74252-in-1,AMD Ryzen 5 5625U,15133,"AMD Radeon RX Vega 7 (R4000/5000, 15W)",512GB SSD,8GB,,"14.0""", Full HD + (1920 x 1200),, IPS,3.2 Gen 1 (5 Gbps),1.4,802.11ax,5.2,1080p,2x Microphones,01.11.2023,,,,,,Fingerprint reader,4,80/100
221,"Lenovo ThinkPad E16 Gen 1ProcessorAMD Ryzen 7 7730UInternal memory16GB RAMVideo cardAMD Radeon RX Vega 8 (R4000/5000, 15W)Display16.0”, WUXGA (1920 x 1200), IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-155/,Lenovo ThinkPad E16 Gen 1,Lenovo,ThinkPadE16Gen1,AMD Ryzen 7 7730U,18796,"AMD Radeon RX Vega 8 (R4000/5000, 15W)",2000GB SSD,16GB,,16.0”, WUXGA (1920 x 1200),, IPS,3.2 Gen 1 (5 Gbps),1.4b,802.11ax,5.1,720p / 1080p,2x Microphones,01.11.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
222,"MSI Pulse 15ProcessorIntel Core i7-13700HInternal memory64GB RAMVideo cardNVIDIA GeForce RTX 4060 (Laptop, 140W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/msi-pulse-15-21/,MSI Pulse 15,MSI,Pulse15,Intel Core i7-13700H,28201,"NVIDIA GeForce RTX 4060 (Laptop, 140W)",2000GB SSD,64GB,DDR5,15.6”, Full HD (1920 x 1080), 144 Hz,,2.30 kg (5.1 lbs),2.1,802.11ax,5.2,720p,,24.08.2023,$1749.99,https://laptopmedia.com/review/msi-plus-15-b13v-review-climbing-up-through-the-ranks/,https://www.amazon.com/exec/obidos/ASIN/B0CCLQ785K?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,"359 x 259 x 26.9 mm (14.13"" x 10.20"" x 1.06"")","10, 100, 1000 Mbit/s",Fingerprint reader,10,44/100
223,"MSI Alpha 17ProcessorAMD Ryzen 9 7945HXInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 4070 (Laptop, 140W)Display17.3"", QHD (2560 x 1440), 240 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/msi-alpha-17-141/,MSI Alpha 17,MSI,Alpha17,AMD Ryzen 9 7945HX,56006,"NVIDIA GeForce RTX 4070 (Laptop, 140W)",2000GB SSD,16GB,DDR5,"17.3""", QHD (2560 x 1440), 240 Hz,,,2.1,802.11ax,5.4,720p,,25.08.2023,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,10,44/100
224,"MSI Raider GE76ProcessorIntel Core i9-12900HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3060 (Laptop, 140W)Display17.3”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/msi-raider-ge76-679/,MSI Raider GE76,MSI,RaiderGE76,Intel Core i9-12900H,28587,"NVIDIA GeForce RTX 3060 (Laptop, 140W)",1000GB SSD,16GB,DDR5,17.3”, Full HD (1920 x 1080), 144 Hz,,,2.1,802.11ax,5.2,1080p,,25.08.2023,,,,,"10, 100, 1000, 2500 Mbit/s",Fingerprint reader,10,44/100
225,"ASUS VivoBook 16XProcessorIntel Core i7-12700HInternal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display16.0”, WQUXGA (3840 x 2400), OLEDSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/asus-vivobook-16x-415/,ASUS VivoBook 16X,ASUS,VivoBook16X,Intel Core i7-12700H,26457,Intel Iris Xe Graphics G7 (96EU),512GB SSD,16GB,,16.0”, WQUXGA (3840 x 2400),, OLED,"358.4 x 247.7 x 19.9 mm (14.11"" x 9.75"" x 0.78"")",1.4,802.11ax,5.2,720p,1x Microphone,20.09.2023,$1389.99,https://laptopmedia.com/review/asus-vivobook-16x-m1603-review-a-product-with-a-high-value-and-low-price/,https://www.amazon.com/exec/obidos/ASIN/B0CGBKNCQ3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,Fingerprint reader,5,80/100
226,"ASUS ROG Strix G16ProcessorIntel Core i9-13980HXInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 4060 (Laptop, 140W)Display16.0"", WQXGA (2560 x 1600), 240 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-strix-g16-437/,ASUS ROG Strix G16,ASUS,ROGStrixG16,Intel Core i9-13980HX,47989,"NVIDIA GeForce RTX 4060 (Laptop, 140W)",2000GB SSD,16GB,DDR5,"16.0""", WQXGA (2560 x 1600), 240 Hz,,2.50 kg (5.5 lbs),2.1,802.11ax,5.2,720p,1x Microphone,25.09.2023,$1769.00,https://laptopmedia.com/review/asus-rog-strix-g16-g614-2023-review-it-has-a-huge-cooling-potential/,https://www.amazon.com/exec/obidos/ASIN/B0CF4VY8NV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,"354 x 264 x 22.6 - 30.4 mm (13.94"" x 10.39"" x 0.89"")","10, 100, 1000, 2500 Mbit/s",Fingerprint reader,5,80/100
227,"HP 15ProcessorIntel Core i5-1135G7Internal memory32GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display15.6”, HD (1366 x 768), TNHard drive2000GB HDDSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/hp-15-17228/,HP 15,HP,15,Intel Core i5-1135G7,9901,Intel Iris Xe Graphics G7 (80EU),512GB SSD + 2000GB HDD,32GB,,15.6”, HD (1366 x 768),, TN,"358.5 x 242 x 19.9 mm (14.11"" x 9.53"" x 0.78"")",1.4b,802.11ac,4.2,720p,2x Microphones,17.10.2023,$1700.00,https://laptopmedia.com/review/hp-15-15-dw1000-review-you-get-a-lot-for-such-a-low-price/,https://www.amazon.com/exec/obidos/ASIN/B0CDRRQJCQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
228,"HP 15ProcessorIntel Core i5-1135G7Internal memory64GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display15.6”, HD (1366 x 768), TNSolid-state drive8000GB SSD",https://laptopmedia.com/laptop-specs/hp-15-17305/,HP 15,HP,15,Intel Core i5-1135G7,9901,Intel Iris Xe Graphics G7 (80EU),8000GB SSD,64GB,,15.6”, HD (1366 x 768),, TN,"358.5 x 242 x 19.9 mm (14.11"" x 9.53"" x 0.78"")",1.4b,802.11ac,4.2,720p,2x Microphones,17.10.2023,$4114.00,https://laptopmedia.com/review/hp-15-15-dw1000-review-you-get-a-lot-for-such-a-low-price/,https://www.amazon.com/exec/obidos/ASIN/B09PB3XY9D?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
229,"HP 15ProcessorIntel Core i3-1115G4Internal memory8GB RAMVideo cardIntel UHD Graphics Xe G4 (48EU)Display15.6”, HD (1366 x 768), TNSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/hp-15-17584/,HP 15,HP,15,Intel Core i3-1115G4,6143,Intel UHD Graphics Xe G4 (48EU),256GB SSD,8GB,,15.6”, HD (1366 x 768),, TN,3.2 Gen 1 (5 Gbps),1.4b,802.11ax,5.2,720p,2x Microphones,18.10.2023,,,,,,Fingerprint reader,9,63/100
230,"ASUS ROG Strix G16ProcessorIntel Core i7-13650HXInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 4060 (Laptop, 140W)Display16.0″, WUXGA (1920 x 1200), 165 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/asus-rog-strix-g16-541/,ASUS ROG Strix G16,ASUS,ROGStrixG16,Intel Core i7-13650HX,32088,"NVIDIA GeForce RTX 4060 (Laptop, 140W)",1000GB SSD,32GB,,16.0″, WUXGA (1920 x 1200), 165 Hz,,,2.1,802.11ax,5.2,720p,1x Microphone,16.10.2023,,,,"354 x 264 x 22.6 - 30.4 mm (13.94"" x 10.39"" x 0.89"")","10, 100, 1000, 2500 Mbit/s",Fingerprint reader,5,80/100
231,"HP 15ProcessorIntel Core i5-1135G7Internal memory8GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display15.6”, Full HD (1920 x 1080), TNSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/hp-15-17159/,HP 15,HP,15,Intel Core i5-1135G7,9901,Intel Iris Xe Graphics G7 (80EU),256GB SSD,8GB,,15.6”, Full HD (1920 x 1080),, TN,3.2 Gen 1 (5 Gbps),1.4b,802.11ax,5.2,720p,2x Microphones,17.10.2023,,,,,,Fingerprint reader,9,63/100
232,"HP ENVY x360 15ProcessorAMD Ryzen 5 5500UInternal memory64GB RAMVideo cardAMD Radeon RX Vega 7 (R4000/5000, 15W)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive8000GB SSD",https://laptopmedia.com/laptop-specs/hp-envy-x360-15-5111/,HP ENVY x360 15,HP,ENVYx36015,AMD Ryzen 5 5500U,13159,"AMD Radeon RX Vega 7 (R4000/5000, 15W)",8000GB SSD,64GB,DDR4,15.6”, Full HD (1920 x 1080),, IPS,,,802.11ax,5.0,720p,2x Microphones,05.11.2023,,,,,,Fingerprint reader,9,63/100
233,"HP Victus 15ProcessorIntel Core i7-12650HInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 3050 Ti (Laptop)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/hp-victus-15-937/,HP Victus 15,HP,Victus15,Intel Core i7-12650H,23461,NVIDIA GeForce RTX 3050 Ti (Laptop),2000GB SSD,32GB,,15.6”, Full HD (1920 x 1080), 144 Hz,,"357.88 x 255.01 x 23.5 mm (14.09"" x 10.04"" x 0.93"")",2.1,802.11ax,5.2,720p,2x Microphones,03.11.2023,$1409.00,https://laptopmedia.com/review/hp-victus-15-15-fb0000-review-we-cracked-the-reason-for-the-low-price/,https://www.amazon.com/exec/obidos/ASIN/B0CJ9618FF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
234,"HP ENVY x360 15ProcessorAMD Ryzen 7 5825UInternal memory64GB RAMVideo cardAMD Radeon RX Vega 8 (R4000/5000, 15W)Display15.6”, FHD (1920 x 1080), OLEDSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/hp-envy-x360-15-5083/,HP ENVY x360 15,HP,ENVYx36015,AMD Ryzen 7 5825U,18414,"AMD Radeon RX Vega 8 (R4000/5000, 15W)",1000GB SSD,64GB,,15.6”, Full HD (1920 x 1080),, OLED,3.2 Gen 2 (10 Gbps),2.1,802.11ax,5.2,720p,2x Microphones,03.11.2023,,,,,,,9,63/100
235,"Dell XPS 9530ProcessorIntel Core i7-13700HInternal memory32GB RAMVideo cardIntel Arc A370MDisplay15.6”, FHD+ (1920 x 1200), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/dell-xps-9530-31/,Dell XPS 9530,Dell,XPS9530,Intel Core i7-13700H,28201,Intel Arc A370M,1000GB SSD,32GB,DDR4,15.6”, Full HD + (1920 x 1200),, IPS,,,802.11ax,5.3,720p,x Microphones,03.11.2023,,,,"344.72 x 230.14 x 11.65 - 18 mm (13.57"" x 9.06"" x 0.46"")",,Fingerprint reader,4,80/100
236,"Dell XPS 9530ProcessorIntel Core i7-13700HInternal memory64GB RAMVideo cardIntel Arc A370MDisplay15.6”, FHD+ (1920 x 1200), IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/dell-xps-9530-36/,Dell XPS 9530,Dell,XPS9530,Intel Core i7-13700H,28201,Intel Arc A370M,2000GB SSD,64GB,DDR5,15.6”, Full HD + (1920 x 1200),, IPS,,,802.11ax,5.3,720p,x Microphones,03.11.2023,,,,"344.72 x 230.14 x 11.65 - 18 mm (13.57"" x 9.06"" x 0.46"")",,Fingerprint reader,4,80/100
237,"Lenovo ThinkBook 15 Gen 4ProcessorIntel Core i7-1255UInternal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (96EU)Display15.6”, Full HD (1920 x 1080), IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkbook-15-gen-4-308/,Lenovo ThinkBook 15 Gen 4,Lenovo,ThinkBook15Gen4,Intel Core i7-1255U,13790,Intel Iris Xe Graphics G7 (96EU),1000GB SSD,16GB,DDR4,15.6”, Full HD (1920 x 1080),, IPS,,2.0,802.11ax,5.2,720p / 1080p,2x Microphones,06.11.2023,,,,"357 x 235 x 18.9 mm (14.06"" x 9.25"" x 0.74"")","10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
238,"Microsoft Surface Pro 7 (VDH-00001)ProcessorIntel Core i3-1005G1Internal memory4GB RAMVideo cardIntel UHD Graphics G1Display12.3"", 3К (2736 x 1824), IPSSolid-state drive128GB SSD",https://laptopmedia.com/laptop-specs/microsoft-surface-pro-7-vdh-00001/,Microsoft Surface Pro 7 (VDH-00001),Microsoft,SurfacePro7(VDH-00001),Intel Core i3-1005G1,4989,Intel UHD Graphics G1,128GB SSD,4GB,LPDDR4x,"12.3""", 3К (2736 x 1824),, IPS,0.78 kg (1.7 lbs),,802.11ax,5.0,1080p,2x Microphones,17.09.2020,,,,,,Fingerprint reader,6,79/100
239,"Lenovo Chromebook S330 14""ProcessorMediatek MT8173cInternal memory4GB RAMVideo cardImagination PowerVR GX6250Display14.0”, Full HD (1920 x 1080), TNSolid-state drive64GB SSD",https://laptopmedia.com/laptop-specs/lenovo-chromebook-s330-14-2/,"Lenovo Chromebook S330 14""",Lenovo,"ChromebookS33014""",Mediatek MT8173c,804,Imagination PowerVR GX6250,64GB SSD,4GB,,14.0”, Full HD (1920 x 1080),, TN,"3.2 Gen 2 (10 Gbps), Power Delivery (PD), HDMI",1.4,802.11ac,4.1,720p,,09.04.2019,,,,,,,3,85/100
240,"Acer Aspire 5 (A515-44)ProcessorAMD Ryzen 5 4500UInternal memory8GB RAMVideo cardAMD Radeon RX Vega 6 (R4000/5000, 15W)Display15.6”, HD (1366 x 768), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/acer-aspire-5-a515-44-4/,Acer Aspire 5 (A515-44),Acer,Aspire5(A515-44),AMD Ryzen 5 4500U,11013,"AMD Radeon RX Vega 6 (R4000/5000, 15W)",512GB SSD,8GB,DDR4,15.6”, HD (1366 x 768),, IPS,,,802.11ac,5.0,,,27.10.2020,$569.89,https://laptopmedia.com/review/acer-aspire-5-a515-44g-review-an-amd-combo-that-comes-at-a-surprisingly-low-price/,https://www.amazon.com/exec/obidos/ASIN/B08CJZCW38?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,"363.4 x 250.5 x 17.9 mm (14.31"" x 9.86"" x 0.70"")","10, 100, 1000 Mbit/s",,7,73/100
241,"Lenovo ThinkPad T460ProcessorIntel Core i5-6200UInternal memory4GB RAMVideo cardIntel HD Graphics 520Display14.0”, HD (1366 x 768), TNHard drive500GB HDD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t460-9/,Lenovo ThinkPad T460,Lenovo,ThinkPadT460,Intel Core i5-6200U,3000,Intel HD Graphics 520,500GB HDD,4GB,DDR3,14.0”, HD (1366 x 768),, TN,1.73 kg (3.8 lbs),,802.11ac,4.1,720p,2x Microphones,23.06.2017,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,3,85/100
242,"Dell Inspiron 3493ProcessorIntel Core i3-1005G1Internal memory4GB RAMVideo cardIntel UHD Graphics G1Display14.0”, HD (1366 x 768), TNSolid-state drive128GB SSD",https://laptopmedia.com/laptop-specs/dell-inspiron-3493-66/,Dell Inspiron 3493,Dell,Inspiron3493,Intel Core i3-1005G1,4989,Intel UHD Graphics G1,128GB SSD,4GB,2666MHz,14.0”, HD (1366 x 768),, TN,2.0,1.4b,802.11ac,5.0,720p,,20.12.2019,,,,,"10, 100 Mbit/s",,4,80/100
243,"Lenovo Thinkpad X280ProcessorIntel Core i7-8550UInternal memory16GB RAMVideo cardIntel UHD Graphics 620Display12.5”, HD (1366 x 768), TNSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x280-12/,Lenovo Thinkpad X280,Lenovo,ThinkpadX280,Intel Core i7-8550U,5930,Intel UHD Graphics 620,512GB SSD,16GB,2400MHz,12.5”, HD (1366 x 768),, TN,"308 x 210 x 17.4 - 17.8 mm (12.13"" x 8.27"" x 0.69"")",1.4b,802.11ac,4.1,,2x Microphones,16.02.2019,,,,,,Fingerprint reader,3,85/100
244,"Acer Predator Helios 300 (PH315-52)ProcessorIntel Core i7-9750HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 2060 (Laptop, 80W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/acer-predator-helios-300-ph315-52-54/,Acer Predator Helios 300 (PH315-52),Acer,PredatorHelios300(PH315-52),Intel Core i7-9750H,10948,"NVIDIA GeForce RTX 2060 (Laptop, 80W)",512GB SSD,16GB,2666MHz,15.6”, Full HD (1920 x 1080), 144 Hz,,2.30 kg (5.1 lbs),2.0,Gigabit Wi-Fi 5 (2×2 MU-MIMO),5.0,,1x Microphone,27.11.2019,,,,,"10, 100, 1000 Mbit/s",,7,73/100
245,"Razer Blade 14ProcessorAMD Ryzen 9 5900HXInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3070 (Laptop, 100W)Display14.0”, QHD (2560 x 1440), 165 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/razer-blade-14-4/,Razer Blade 14,Razer,Blade14,AMD Ryzen 9 5900HX,22734,"NVIDIA GeForce RTX 3070 (Laptop, 100W)",1000GB SSD,16GB,3200MHz,14.0”, QHD (2560 x 1440), 165 Hz,,,2.1,802.11ax,5.2,720p,1x Microphone,17.06.2021,,,,,,Fingerprint reader,2,86/100
246,"MSI Creator 15ProcessorIntel Core i7-11800HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3080 (Laptop, 95W)Display15.6”, 4K UHD (3840 x 2160), OLEDSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/msi-creator-15-159/,MSI Creator 15,MSI,Creator15,Intel Core i7-11800H,20772,"NVIDIA GeForce RTX 3080 (Laptop, 95W)",1000GB SSD,16GB,,15.6”, 4K UHD (3840 x 2160),, OLED,"Thunderbolt 4, Power Delivery (PD), DisplayPort",,802.11a/b/g/n/ac/ax,5.2,720p,,03.12.2021,,,,,"10, 100, 1000 Mbit/s",,10,44/100
247,"MSI Crosshair 15ProcessorIntel Core i7-12700HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3070 (Laptop, 140W)Display15.6"", WQHD (2560 x 1440), 165 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/msi-crosshair-15-545/,MSI Crosshair 15,MSI,Crosshair15,Intel Core i7-12700H,26457,"NVIDIA GeForce RTX 3070 (Laptop, 140W)",1000GB SSD,16GB,,"15.6""", WQHD (2560 x 1440), 165 Hz,,,2.0,802.11ax,5.1,720p,,24.03.2022,,,,"359 x 259 x 26.9 mm (14.13"" x 10.20"" x 1.06"")","10, 100, 1000 Mbit/s",Fingerprint reader,10,44/100
248,"HP OMEN 15ProcessorAMD Ryzen 9 5900HXInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 3070 (Laptop, 100W)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive2000GB SSD",https://laptopmedia.com/laptop-specs/hp-omen-15-1298/,HP OMEN 15,HP,OMEN15,AMD Ryzen 9 5900HX,22734,"NVIDIA GeForce RTX 3070 (Laptop, 100W)",2000GB SSD,16GB,,15.6”, Full HD (1920 x 1080), 144 Hz,,"357.9 x 239.7 x 22.6 mm (14.09"" x 9.44"" x 0.89"")",2.0a,802.11ax,5.0,720p,2x Microphones,08.02.2022,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
249,"ASUS VivoBook 14ProcessorIntel Core i3-1005G1Internal memory4GB RAMVideo cardIntel UHD Graphics G1Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive128GB SSD",https://laptopmedia.com/laptop-specs/asus-vivobook-14-31/,ASUS VivoBook 14,ASUS,VivoBook14,Intel Core i3-1005G1,4989,Intel UHD Graphics G1,128GB SSD,4GB,DDR4,14.0”, Full HD (1920 x 1080),, IPS,1.40 kg (3.1 lbs),,802.11ax,5.0,,,03.09.2021,$299.00,https://laptopmedia.com/review/asus-vivobook-14-m413-review-excellent-performance-for-the-price/,https://www.amazon.com/exec/obidos/ASIN/B09CYVKZLB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,,,5,80/100
250,"Lenovo ThinkPad L13 YogaProcessorIntel Core i5-10210UInternal memory8GB RAMVideo cardIntel UHD GraphicsDisplay13.3”, Full HD (1920 x 1080), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-l13-yoga-4/,Lenovo ThinkPad L13 Yoga,Lenovo,ThinkPadL13Yoga,Intel Core i5-10210U,6238,Intel UHD Graphics,256GB SSD,8GB,"DDR4,2666MHz",13.3”, Full HD (1920 x 1080),, IPS,"312 x 219 x 17.6 mm (12.28"" x 8.62"" x 0.69"")",1.4b,802.11ac,5.0,720p,,03.11.2020,,,,,,Fingerprint reader,3,85/100
251,"Dell Latitude 7410 2-in-1ProcessorIntel Core i7-10610UInternal memory16GB RAMVideo cardIntel UHD GraphicsDisplay14.0”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/dell-latitude-7410-2-in-1-20/,Dell Latitude 7410 2-in-1,Dell,Latitude74102-in-1,Intel Core i7-10610U,6826,Intel UHD Graphics,512GB SSD,16GB,"DDR4,2666MHz",14.0”, Full HD (1920 x 1080),, IPS,"3.2 Gen 1 (5 Gbps), Sleep and Charge",2.0,802.11ax,5.1,1080p,2x Microphones,09.09.2021,,,,,,Fingerprint reader,4,80/100
252,"Lenovo IdeaPad 5 14ProcessorAMD Ryzen 5 4600UInternal memory16GB RAMVideo cardAMD Radeon RX Vega 6 (R4000/5000, 15W)Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/lenovo-ideapad-5-14-46/,Lenovo IdeaPad 5 14,Lenovo,IdeaPad514,AMD Ryzen 5 4600U,13445,"AMD Radeon RX Vega 6 (R4000/5000, 15W)",512GB SSD,16GB,3200MHz,14.0”, Full HD (1920 x 1080),, IPS,"321.5 x 211.6 x 16.9 mm (12.66"" x 8.33"" x 0.67"")",1.4b,802.11ac/ax,5.0,720p,2x Microphones,18.03.2021,,,,,,Fingerprint reader,3,85/100
253,"HP ProBook 445 G8ProcessorAMD Ryzen 7 5800UInternal memory16GB RAMVideo cardAMD Radeon RX Vega 8 (R4000/5000, 15W)Display14.0”, Full HD (1920 x 1080), IPSSolid-state drive512GB SSD",https://laptopmedia.com/laptop-specs/hp-probook-445-g8-4/,HP ProBook 445 G8,HP,ProBook445G8,AMD Ryzen 7 5800U,18616,"AMD Radeon RX Vega 8 (R4000/5000, 15W)",512GB SSD,16GB,"DDR4,3200MHz",14.0”, Full HD (1920 x 1080),, IPS,3.2 Gen 1 (5 Gbps),1.4b,802.11ax,5.0,720p,2x Microphones,01.10.2021,,,,,"10, 100, 1000 Mbit/s",Fingerprint reader,9,63/100
254,"Lenovo ThinkPad X1 Nano 1ProcessorIntel Core i5-1140G7Internal memory16GB RAMVideo cardIntel Iris Xe Graphics G7 (80EU)Display13.0"", WQHD (2160 x 1350), IPSSolid-state drive256GB SSD",https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-nano-9/,Lenovo ThinkPad X1 Nano 1,Lenovo,ThinkPadX1Nano1,Intel Core i5-1140G7,9610,Intel Iris Xe Graphics G7 (80EU),256GB SSD,16GB,4266MHz,"13.0""", WQHD (2160 x 1350),, IPS,"292.8 x 207.7 x 13.8 ~ 17.2 mm (11.53"" x 8.18"" x 0.54"")",,802.11ax,5.2,720p,4x Microphones,01.04.2021,,,,,,Fingerprint reader,3,85/100
255,"Acer Predator Triton 300ProcessorIntel Core i7-10750HInternal memory16GB RAMVideo cardNVIDIA GeForce RTX 2070 Max-QDisplay15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/acer-predator-triton-300-7/,Acer Predator Triton 300,Acer,PredatorTriton300,Intel Core i7-10750H,12027,NVIDIA GeForce RTX 2070 Max-Q,1000GB SSD,16GB,2933MHz,15.6”, Full HD (1920 x 1080), 144 Hz,,"363.4 x 259.1 x 19.9 mm (14.31"" x 10.20"" x 0.78"")",,802.11ax,5.0,,,12.02.2021,$1699.00,https://laptopmedia.com/review/acer-predator-triton-300-pt315-52-review-stylish-design-quick-displays-and-10th-gen-intel-processors/,https://www.amazon.com/exec/obidos/ASIN/B08WCP7M1G?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,,"10, 100, 1000 Mbit/s",Fingerprint reader,7,73/100
256,"MSI GE66 RaiderProcessorIntel Core i7-10750HInternal memory32GB RAMVideo cardNVIDIA GeForce RTX 2070 SUPER (Laptop)Display15.6”, Full HD (1920 x 1080), 144 Hz, IPSSolid-state drive1000GB SSD",https://laptopmedia.com/laptop-specs/msi-ge66-raider-331/,MSI GE66 Raider,MSI,GE66Raider,Intel Core i7-10750H,12027,NVIDIA GeForce RTX 2070 SUPER (Laptop),1000GB SSD,32GB,,15.6”, Full HD (1920 x 1080), 144 Hz,,3.2 Gen 1 (5 Gbps),2.0,802.11ax,5,1080p,,13.07.2021,,,,,,Fingerprint reader,10,44/100
